id,type,level,item_name,prompt
1,Egg,1,Eggs Carton,"cardboard eggs carton, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
2,Egg,2,Raw Egg,"single raw chicken egg in shell, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
3,Egg,3,Cracked Egg,"cracked brown egg showing raw yellow yolk inside, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
4,Egg,4,Whisked Eggs,"whisked yellow eggs in a metal bowl, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
5,Egg,5,Soft Boiled Egg,"soft boiled egg cut in half showing runny yolk, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
6,Egg,6,Sunny Side Up Fried Egg,"sunny-side up fried egg, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
7,Egg,7,Egg Salad,"egg salad in a small glass bowl, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
8,Egg,8,Deviled Eggs,"plate of three deviled eggs, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
9,Egg,9,Classic Omelette,"folded yellow omelette, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
10,Egg,10,Eggs Benedict,"eggs benedict on an english muffin, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
11,Egg,11,Egg and Bacon Toast,"slice of toast with fried egg and bacon, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
12,Egg,12,Royal Soufflé,"puffy golden egg soufflé in a ramekin, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
13,Egg,13,Ultimate Golden Egg Pie,"golden egg pie, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
14,Meat,1,Butcher's Paper Bag,"brown paper butcher bag, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
15,Meat,2,Raw Bacon Strip,"raw bacon strip, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
16,Meat,3,Raw Sausage Link,"raw sausage link, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
17,Meat,4,Raw Pork Chop,"raw pork chop, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
18,Meat,5,Raw Ribeye Steak,"raw marbled beef steak with beautiful red and white marbling patterns and clear muscle texture, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
19,Meat,6,Grilled Bacon,"crispy grilled bacon strips, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
20,Meat,7,Grilled Sausage,"grilled sausage, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
21,Meat,8,Fried Pork Chop,"golden crispy fried pork chop, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
22,Meat,9,Medium-rare Grilled Steak,"grilled beef steak with char marks, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
23,Meat,10,Beef Wellington,"slice of beef wellington, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
24,Meat,11,BBQ Meat Platter,"bbq ribs on a wooden board, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
25,Meat,12,Roasted Glazed Turkey,"whole roasted turkey, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
26,Meat,13,Emperor's Roast Pig,"roasted piglet on a silver platter, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
27,Seafood,1,Fisherman's Ice Bucket,"bucket filled with ice and raw fish tails, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
28,Seafood,2,Raw Shrimp,"single raw pink shrimp, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
29,Seafood,3,Raw Octopus Tentacle,"raw purple octopus tentacle, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
30,Seafood,4,Raw Salmon Filet,"raw salmon filet, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
31,Seafood,5,Raw Scallop,"raw scallop meat in shell, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
32,Seafood,6,Steamed Shrimp,"cooked steamed shrimp, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
33,Seafood,7,Grilled Octopus Tentacle,"grilled octopus tentacle, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
34,Seafood,8,Seared Salmon Steak,"grilled salmon steak, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
35,Seafood,9,Pan-fried Scallops,"pan-seared scallops, isometric 3d, stylized hand-painted game art, vibrant colors, soft ambient lighting, subtle glossy finish, soft highlights, soft painterly edges, no dark outlines, no text, no watermark, no face, single isolated object"
